name,rating,review_count,category,address,phone,status,starting_point,distance,distance_unit,time_req,location_url
Shivaranjini Dance Dress&Ornaments,N/A,N/A,Dance store,"8W9Q+FVQ, Kattangal, Kerala 673601",N/A,Permanently closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",0.85,2 min,https://maps.app.goo.gl/iMUS147Ji2RZoepFA
UNIVERSAL SCHOOL OF MARTIAL ARTS,4.9,37,Martial arts school,"Junction, Kattangal, Kerala 673601",N/A,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",0.9,3 min,https://maps.app.goo.gl/RtPX8FT1j7mzbQwG7
Pianoforte music academy,5.0,8,Dance school,"12th mile, po, Kattankal, Chathamangalam, Kerala 673601",090721 23450,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",1.2,3 min,https://maps.app.goo.gl/ALGKUNgDoTMQfBqG7
Nritanjali school of dance,N/A,N/A,Education center,"Registar Office, Bus Stop, Calicut Mukkam Road, Poolacode, Kerala 673601",N/A,N/A,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",3.7,6 min,https://maps.app.goo.gl/DpB9VjXoDyzUgNAM9
Manjeeram School of Arts,5.0,9,Dance school,"Calicut Mukkam Road, Kunnamangalam, Kerala 673570",088913 07845,N/A,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",6.7,12 min,https://maps.app.goo.gl/xycHsPGSCA36U8qN7
Sruthi School Of Dance,N/A,N/A,Dance school,"8V4H+GMG, E Vellimadukunnu Cross Rd, Vellimadukunnu East, Vellimadukunnu, Kozhikode, Kunnamangalam, Kerala 673012",094470 12902,Permanently closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",6.9,12 min,https://maps.app.goo.gl/yod22rfHbW7CWti76
"SOORYA'S School of Arts, Fitness Entertainment",5.0,5,Dance school,"SH29, Kunnamangalam, Kerala 673571",094968 09554,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",7.2,13 min,https://maps.app.goo.gl/NRCsPdszybtjy9uWA
STUDIO18 ACADEMY OF DANCE,N/A,N/A,Charter school,"8XGR+7FW, Mukkam, Kerala 673602",N/A,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",7.2,12 min,https://maps.app.goo.gl/BZ3yh5qia3Q7dv8k6
Mukkam dance world,4.8,12,Dance school,"PC junction, Mukkam, Kerala 673602",097444 12944,Closed,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",7.4,14 min,https://maps.app.goo.gl/4VTss5kBaSJ85vu36
Layanam school of finearts,4.6,7,Dance school,"8XCV+2PH, Unnamed Road, Mukkam, Kerala 673602",097456 08178,N/A,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",7.5,15 min,https://maps.app.goo.gl/hZGmgwE1LBPrjYZT8
Hadinte mmantade,N/A,N/A,Dance club,"dadasda, Mukkam, Kerala 673602",N/A,N/A,"NIT Calicut, 8WCM+JFX, Calicut Mukkam Road, Kattangal, Kerala 673601",7.8,13 min,https://maps.app.goo.gl/EFevuRsHhqyTHDFi9
