name,rating,review_count,category,address,phone,status,starting_point,distance,distance_unit,time_req,location_url
Aifer Education | UGC NTA NET | CUET UG Coaching | CUET PG Coaching | M.Phill Entrance Coaching,4.7,"1,786",Educational institution,"First Floor, KKK Golf Link Tower, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",093391 00300,Open,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",0.25,1 min,https://maps.app.goo.gl/qNcEsb8cotZSg33NA
NILA'S LADIES HOSTEL,1.0,1,Working women's hostel,"7RCG+G5P, Chevayoor, Kozhikode, Kerala 673017",N/A,N/A,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",0.35,1 min,https://maps.app.goo.gl/GNR4YuJ3qQU3z7kD6
HONEYS Paying Guest Hostel for ladies,5.0,5,Hostel,"Chevayoor, Kozhikode, Kerala 673017",N/A,N/A,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",1.0,3 min,https://maps.app.goo.gl/7BdUPDbG7djid3i19
Nimmy's Home Stay – Ladies PG,5.0,7,Girls' hostel,"7R8F+P6G, Sunday Road, Chevayoor, Kozhikode, Kerala 673017",N/A,N/A,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",1.0,3 min,https://maps.app.goo.gl/BnwyB2L8jSxqUJW4A
BINDU-Home stay/PG,N/A,N/A,Hostel,"Indraneelam (HO),PANANGOTTU, PARAMBA, Kovoor, Kozhikode, Kerala 673017",N/A,Temporarily closed,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",1.0,3 min,https://maps.app.goo.gl/RXWQjnBwmWyLevxC8
Ameez Ladies' Paying Guest Home,4.2,65,Girls' hostel,"Vayoli house, state bank colony road, near west chaddipuram road post, Kovoor - Vellimadukunn Rd, Chevayoor, Kozhikode, Kerala 6730017",097456 39273,Open,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",1.3,4 min,https://maps.app.goo.gl/6hHE9iuuT5TqbBzZ6
Shirin pg,5.0,4,Home Stay,"Kovoor, Kozhikode, Kerala 673008",095442 41618,N/A,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",1.4,6 min,https://maps.app.goo.gl/qCh2dAKrW2MBFR2L7
QUEEN'S PG,2.3,14,Hostel,"HOUSE NO 14, Nazeera Driving School, UNITY RESIDENT'S ASSOCIATION, ROAD, near KRIPALAYAM GUIDANCE CENTER MEDICAL COLLEGE, Kozhikode, Kerala 673008",N/A,Open 24 hours,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",1.6,7 min,https://maps.app.goo.gl/iHCgZYZXHp673RnRA
Carewell Ladies Hostel,4.2,66,Hostel,"Nazeera Driving School, Via, Medical College Rd, Kovoor, PO, Kozhikode, Kerala 673017",N/A,Open 24 hours,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",1.7,7 min,https://maps.app.goo.gl/M5d6h5EdUt5NAmH57
Emarald Xylem boys hostel,4.6,8,Hostel,"7RGH+32Q, Kovoor, Chevayoor, Kozhikode, Kerala 673008",N/A,N/A,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",1.9,8 min,https://maps.app.goo.gl/aQvysuYb4vWgvnad7
BACKAR VILLAS,4.0,34,Hostel,"7RGM+793, Unnamed Road, Kozhikode, Kerala 673008",N/A,Open 24 hours,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",2.0,8 min,https://maps.app.goo.gl/51RxCgZfjtciUhUh8
Lakshya Hostel Thondayad,2.9,11,Boys' hostel,"7R98+C9F, Kavu Nagar, Kozhikode, Kerala 673017",N/A,N/A,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",2.1,5 min,https://maps.app.goo.gl/ZAZ2YqPLwaDfsWXp9
Nandanam PG for Girls,3.7,26,Girls' hostel,"7R5G+7X9, Near Cyberpark, VKRA Residency, Nellikode, Kerala 673016",N/A,N/A,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",2.4,8 min,https://maps.app.goo.gl/RYMGHf125XN4nHyU8
KRIPA PG FOR LADIES,5.0,29,Home Stay,"33/4746, near IQRAA Hospital, Chevayoor, Malaparamba, Kozhikode, Kerala 673009",N/A,N/A,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",3.2,7 min,https://maps.app.goo.gl/Ct5XmtYvHqT74GMbA
Students P.G/Rent (Paying guest)(Ladies only) Near medical college,4.7,30,Hostel,"Ozhukkara bus stop, road, near Medical College Road, Palakottuvayal, Kozhikode, Kerala 673008",085906 10403,N/A,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",3.5,11 min,https://maps.app.goo.gl/HukRJqTV3CfiiUgTA
Sha Apartment,4.8,93,Hostel,"Mayanad, Ozhukkara, Kozhikode, Kerala 673008",081119 23116,Open 24 hours,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",3.5,10 min,https://maps.app.goo.gl/CCqk79QTF6Pmwpur9
Green Homes pg,5.0,2,Boys' hostel,"7RRC+PJ5, Malaparamba, Kozhikode, Kerala 673012",N/A,Open 24 hours,"ROTECH - AI & STEAM EDUCATION PROVIDER, 1st Floor, Onyx Building, Golf Link Rd, Chevayoor, Kozhikode, Kerala 673017",3.7,10 min,https://maps.app.goo.gl/3CtvoGWyKtK8vyht9
